ID Research Questions;Research Questions;In final output;Subject;Category;Priority;Extraction feasibility;Derived priority ;Extraction region;Answers via;;;;;;;;;
RQ 01;Where can I find the description of a lot relating to an item I am researching, containing all the information (attribution, collecting history, price, etc.) that is useful for my study? ;1;Lot;1. Lot's identification and description;High;High;01 - Maximum;Lot description;LLM;;;;;;;;;
RQ 02_v1;What types of items were most frequently sold at auctions during that historical period (e.g. furniture, paintings, bronzes, ivories)?;1;Object;2. Objects classification;High;Medium;03 - Medium;Lot description;LLM;;;;;;;;;
RQ 02_v2;What types of items were most frequently sold at auctions during that historical period (e.g. furniture, paintings, bronzes, ivories)?;1;Object;2. Objects classification;High;High;01 - Maximum;Cover page;Zeri Catalogue;;;;;;;;;
RQ 03_v1;What are the auctions focused on the specific sale of items (e.g. polyptychs, teapots, autographs, etc.) and how many are there?;1;Auction event;4. Auction houses and market dynamics;High;Medium;03 - Medium;Lot description;LLM;;;;;;;;;
RQ 03_v2;What are the auctions focused on the specific sale of items (e.g. polyptychs, teapots, autographs, etc.) and how many are there?;1;Auction event;4. Auction houses and market dynamics;High;High;01 - Maximum;Cover page;Zeri Catalogue;;;;;;;;;
RQ 04_v1;Which auction houses are most active on the market and what do they specialise in?;1;Auction house;4. Auction houses and market dynamics;Low;High;03 - Medium;Cover page;Zeri Catalogue;;;;;;;;;
RQ 4_v2;Which auction houses are most active on the market and what do they specialise in?;1;Auction house;4. Auction houses and market dynamics;Low;High;03 - Medium;Cover page;LLM;;;;;;;;;
RQ 5;What are the most common attributes for items offered for sale?;1;Object;3. Attributions and authors;High;Low;03 - Medium;Lot description;LLM;;;;;;;;;
RQ 6;Which of the proposed attributions for the objects are certain (derived from inscriptions, signatures or documentation) and which are mere hypotheses?;0;Object;3. Attributions and authors;Low;Low;05 - Very low;Lot description;LLM;;;;;;;;;
RQ 7;In the case of book and document sales, who are the most frequently mentioned authors of these texts?;1;Object;3. Attributions and authors;Low;Low;05 - Very low;Lot description;LLM;;;;;;;;;
RQ 8;Which subjects are most commonly depicted (e.g. are portraits or still lifes more fashionable in certain historical periods?);0;Object;2. Objects classification;High;Medium;02 - High;Lot description;LLM;;;;;;;;;
RQ 9;What are the periods of origin of the items offered for sale?;1;Object;2. Objects classification;High;Medium;02 - High;Cover page;LLM;;;;;;;;;
RQ 10;What are the most common types of schools for the items offered for sale?;0;Object;2. Objects classification;High;Low;03 - Medium;Lot description;LLM;;;;;;;;;
RQ 11;When did the collectors' market become interested in 13th- and 14th-century paintings?;0;Object;5. Historical enhancement;Low;Medium;04 - Low;Lot description;LLM;;;;;;;;;
RQ 12;Which auction houses have contributed most to the commercialisation of Italian primitives (paintings by artists active up to the 15th century)?;0;Auction house;4. Auction houses and market dynamics;Low;Medium;04 - Low;Lot description;LLM;;;;;;;;;
RQ 13;What are the most common styles of items offered for sale (e.g., are Baroque or Rococo paintings more popular in certain historical periods?);0;Object;2. Objects classification;High;Low;03 - Medium;Lot description;LLM;;;;;;;;;
RQ 14;Where were the items for sale produced (e.g. ceramics) or found (e.g. archaeological artefacts)?;0;Object;2. Objects classification;High;Medium;02 - High;Lot description;LLM;;;;;;;;;
RQ 15;Who was the last owner of the collection of items being sold?;1;Collection;2. Objects classification;High;High;01 - Maximum;Cover page;Zeri Catalogue / LLM;;;;;;;;;
RQ 16;What is the collecting history of the items offered for sale? ;0;Object;5. Historical enhancement;High;Low;03 - Medium;Lot description;LLM;;;;;;;;;
RQ 17;What is the exhibition history of the items for sale? ;0;Object;5. Historical enhancement;Low;Low;05 - Very low;Lot description;LLM;;;;;;;;;
RQ 18;Which of the items sold are unpublished, and for how many is a bibliography cited in the catalogues available?;0;Object;5. Historical enhancement;Low;Low;05 - Very low;Lot description;LLM;;;;;;;;;
RQ 19;How many illustrated catalogues are there?;1;Catalogue;5. Historical enhancement;High;High;01 - Maximum;Tables;LLM;;;;;;;;;
RQ 20;Which lots have illustrations available?;0;Catalogue;1. Lot's identification and description;High;Low;03 - Medium;Tables, lot description;LLM;;;;;;;;;
RQ 21;Which art historians contribute to the organisation of auctions?;1;Auction event;3. Attributions and authors;High;Medium;02 - High;Cover page;LLM;;;;;;;;;
RQ 22;Which art historians contribute to the expansion of the catalogue by providing attributions or consulting services?;1;Catalogue;3. Attributions and authors;High;Medium;02 - High;Preface;Zeri Catalogue;;;;;;;;;
RQ 23;How often are auctions held over the years? Within the identified time frame, are there any chronological ranges that are central to the history of the art market?;1;Auction event;4. Auction houses and market dynamics;High;High;01 - Maximum;Cover page;Zeri Catalogue;;;;;;;;;
RQ 24;When prices are present and detectable with OCR, is it possible to understand the prices at which certain types of items were sold in different periods?;0;Object;2. Objects classification;High;Low;03 - Medium;Annotations;LLM;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
